epoch,batch,loss,duration
4, 14, 0.477058, 34.928019
4, 15, 0.432009, 17.669585
4, 16, 0.456091, 26.314298
4, 17, 0.447902, 23.374421
4, 18, 0.472145, 40.042544
4, 19, 0.461739, 21.704457
4, 20, 0.468285, 38.426846
4, 21, 0.474479, 43.545100
4, 22, 0.459071, 19.559404
4, 23, 0.474886, 36.006996
4, 24, 0.453023, 29.418922
4, 25, 0.443326, 27.340093
4, 26, 0.432757, 20.760838
4, 27, 0.461324, 23.992638
4, 28, 0.480092, 27.061429
4, 29, 0.437354, 22.536392
4, 30, 0.437638, 28.156992
4, 31, 0.449119, 23.838563
4, 32, 0.437721, 18.938852
4, 33, 0.497364, 37.437149
4, 34, 0.466590, 29.883241
4, 35, 0.444982, 21.241277
4, 36, 0.463274, 33.005067
4, 37, 0.422732, 19.814217
4, 38, 0.474516, 24.997108
4, 39, 0.483081, 40.891850
4, 40, 0.436305, 20.919290
4, 41, 0.419137, 19.439720
4, 42, 0.439508, 30.071202
4, 43, 0.471116, 35.590395
4, 44, 0.449650, 25.722213
4, 45, 0.467588, 31.565330
4, 46, 0.466010, 25.316143
4, 47, 0.466301, 30.054422
4, 48, 0.469702, 29.260701
4, 49, 0.447761, 21.839464
4, 50, 0.455866, 28.996935
5, 1, 0.464158, 32.095820
5, 2, 0.440588, 21.537872
5, 3, 0.469121, 35.691752
5, 4, 0.456889, 27.151272
5, 5, 0.431562, 21.287389
5, 6, 0.474440, 43.317777
5, 7, 0.469549, 45.480221
5, 8, 0.472358, 45.027776
5, 9, 0.440519, 22.434739
5, 10, 0.459776, 32.173964
5, 11, 0.452724, 25.784129
5, 12, 0.464863, 34.243995
5, 13, 0.458362, 28.200594
5, 14, 0.421651, 21.629491
5, 15, 0.462472, 41.473687
5, 16, 0.445794, 25.761357
5, 17, 0.438955, 27.836075
5, 18, 0.448124, 32.133596
5, 19, 0.413279, 18.912625
5, 20, 0.449762, 35.151018
5, 21, 0.430757, 29.451307
5, 22, 0.446181, 23.184592
5, 23, 0.460078, 37.865697
5, 24, 0.441468, 24.708896
5, 25, 0.442870, 28.370020
5, 26, 0.438707, 23.223722
5, 27, 0.463722, 41.996080
5, 28, 0.430052, 17.781556
5, 29, 0.460430, 32.251441
5, 30, 0.459718, 33.434441
5, 31, 0.460658, 35.984186
5, 32, 0.476053, 50.843692
5, 33, 0.439199, 24.688718
5, 34, 0.456240, 27.363629
5, 35, 0.417404, 19.999512
5, 36, 0.462405, 38.317612
5, 37, 0.460425, 37.903606
5, 38, 0.442443, 19.022118
5, 39, 0.455421, 27.876114
5, 40, 0.436138, 25.571697
5, 41, 0.410424, 17.600417
5, 42, 0.461607, 38.333130
5, 43, 0.442058, 28.055309
5, 44, 0.463329, 43.875580
5, 45, 0.437638, 25.907189
5, 46, 0.466907, 47.124384
5, 47, 0.448188, 24.566704
5, 48, 0.401204, 13.669693
5, 49, 0.441139, 23.772802
5, 50, 0.432760, 21.985229
6, 1, 0.409060, 22.350675
6, 2, 0.441318, 26.240431
6, 3, 0.443466, 31.167918
6, 4, 0.439807, 28.172724
6, 5, 0.428129, 25.382881
6, 6, 0.442299, 29.335524
6, 7, 0.462246, 28.779127
6, 8, 0.438968, 26.031225
6, 9, 0.444719, 27.630140
6, 10, 0.427608, 19.107393
6, 11, 0.436874, 22.664789
6, 12, 0.443117, 25.091384
6, 13, 0.469784, 37.262817
6, 14, 0.460108, 36.528016
6, 15, 0.440708, 21.235456
6, 16, 0.454629, 32.216623
6, 17, 0.464192, 37.460191
6, 18, 0.465115, 47.216297
6, 19, 0.447671, 27.790891
6, 20, 0.426886, 24.379488
6, 21, 0.458940, 43.044859
6, 22, 0.409975, 20.934609
6, 23, 0.454515, 42.290303
6, 24, 0.408251, 17.647416
6, 25, 0.488937, 35.300123
6, 26, 0.458722, 34.152825
6, 27, 0.424743, 19.977959
6, 28, 0.440578, 28.953217
6, 29, 0.459832, 40.872776
6, 30, 0.465772, 35.195295
6, 31, 0.434860, 25.978952
6, 32, 0.435316, 26.611570
6, 33, 0.457552, 33.541780
6, 34, 0.458879, 40.005141
6, 35, 0.447919, 24.417859
6, 36, 0.472344, 49.324944
6, 37, 0.419624, 19.030344
6, 38, 0.455497, 25.226232
6, 39, 0.450780, 30.313620
6, 40, 0.437116, 24.665082
6, 41, 0.404208, 14.477283
6, 42, 0.456217, 33.544950
6, 43, 0.433671, 17.840997
6, 44, 0.425595, 20.896532
6, 45, 0.446572, 28.415067
6, 46, 0.432097, 23.156633
6, 47, 0.455968, 37.218400
6, 48, 0.437035, 21.780197
6, 49, 0.450430, 33.159234
6, 50, 0.454937, 35.262664
7, 1, 0.454594, 33.752691
7, 2, 0.460001, 35.572638
7, 3, 0.409495, 19.296712
7, 4, 0.438639, 23.632743
7, 5, 0.448575, 32.983916
7, 6, 0.432831, 32.169627
7, 7, 0.444881, 29.463398
7, 8, 0.461070, 34.760686
7, 9, 0.451907, 32.474589
7, 10, 0.460593, 35.181719
7, 11, 0.455284, 41.379953
7, 12, 0.470436, 34.930069
7, 13, 0.463366, 36.302352
7, 14, 0.405014, 15.671669
7, 15, 0.461878, 33.920363
7, 16, 0.436280, 18.056899
7, 17, 0.432631, 26.689722
7, 18, 0.437046, 20.924550
7, 19, 0.438888, 26.069593
7, 20, 0.456617, 26.640094
7, 21, 0.437290, 28.322973
7, 22, 0.429056, 23.080639
7, 23, 0.436776, 23.337314
7, 24, 0.445100, 29.970718
7, 25, 0.469857, 40.428618
7, 26, 0.451311, 26.143628
7, 27, 0.462270, 43.982467
7, 28, 0.421712, 19.178163
7, 29, 0.460625, 29.849036
7, 30, 0.433073, 23.793229
7, 31, 0.424331, 21.947324
7, 32, 0.450666, 26.589082
7, 33, 0.462025, 38.533866
7, 34, 0.435956, 27.125713
7, 35, 0.438392, 20.757574
7, 36, 0.445457, 25.914487
7, 37, 0.508012, 28.792141
7, 38, 0.439854, 18.728866
7, 39, 0.459777, 31.874200
7, 40, 0.470626, 21.657721
7, 41, 0.483392, 25.844392
7, 42, 0.462558, 30.173539
7, 43, 0.433657, 23.305042
7, 44, 0.471050, 47.135368
7, 45, 0.452003, 21.239666
7, 46, 0.482069, 47.650764
7, 47, 0.480090, 39.811044
7, 48, 0.466565, 20.422075
7, 49, 0.459344, 24.634843
7, 50, 0.463272, 28.763428
8, 1, 0.463542, 33.790939
8, 2, 0.466372, 26.104333
8, 3, 0.421285, 18.962059
8, 4, 0.438282, 19.129698
8, 5, 0.455506, 30.525692
8, 6, 0.441712, 23.368659
8, 7, 0.469667, 37.331504
8, 8, 0.468781, 37.105082
8, 9, 0.507844, 41.864782
8, 10, 0.438673, 25.803591
8, 11, 0.473115, 39.471702
8, 12, 0.452452, 25.924207
8, 13, 0.462286, 31.568633
8, 14, 0.460383, 28.290473
8, 15, 0.479811, 39.879310
8, 16, 0.442799, 18.564776
8, 17, 0.440697, 20.694736
8, 18, 0.454351, 28.092243
8, 19, 0.423835, 21.554764
8, 20, 0.433423, 23.989715
8, 21, 0.451533, 30.149010
8, 22, 0.441735, 25.061717
8, 23, 0.469450, 39.033174
8, 24, 0.428882, 25.161956
8, 25, 0.463416, 39.354413
8, 26, 0.461982, 17.634887
8, 27, 0.463488, 34.355691
8, 28, 0.467032, 35.970323
8, 29, 0.458889, 38.207910
8, 30, 0.430261, 22.590345
8, 31, 0.436760, 21.670039
8, 32, 0.437458, 21.382187
8, 33, 0.423390, 20.273079
8, 34, 0.464945, 26.307357
8, 35, 0.441117, 26.275037
8, 36, 0.452659, 34.834849
8, 37, 0.435283, 27.847301
8, 38, 0.470219, 51.256129
8, 39, 0.449160, 32.159995
8, 40, 0.439113, 30.582232
8, 41, 0.438824, 28.919103
8, 42, 0.399448, 13.841378
8, 43, 0.443830, 25.724985
8, 44, 0.466825, 34.475915
8, 45, 0.413009, 18.791567
8, 46, 0.461894, 32.803584
8, 47, 0.439671, 24.358567
8, 48, 0.410992, 18.960718
8, 49, 0.463637, 48.910218
8, 50, 0.454175, 34.978563
9, 1, 0.426094, 21.028386
9, 2, 0.449388, 32.292211
9, 3, 0.422383, 22.264371
9, 4, 0.433744, 28.910851
9, 5, 0.432077, 18.114299
9, 6, 0.450723, 35.398467
9, 7, 0.452396, 27.448796
9, 8, 0.452744, 32.920945
9, 9, 0.460617, 39.425966
9, 10, 0.427924, 19.857675
9, 11, 0.452260, 34.418852
9, 12, 0.449226, 29.799250
9, 13, 0.444849, 24.041758
9, 14, 0.446856, 25.286743
9, 15, 0.451186, 31.316371
9, 16, 0.465836, 46.415256
9, 17, 0.457545, 33.652457
9, 18, 0.404985, 18.462986
9, 19, 0.461465, 38.813593
9, 20, 0.439818, 22.066456
9, 21, 0.427736, 26.213184
9, 22, 0.464007, 37.941401
9, 23, 0.434642, 23.533215
9, 24, 0.466556, 36.386456
9, 25, 0.466901, 61.113334
9, 26, 0.409662, 19.029041
9, 27, 0.439963, 27.791945
9, 28, 0.459930, 41.214073
9, 29, 0.420237, 21.679135
9, 30, 0.461304, 36.803219
9, 31, 0.452459, 32.639011
9, 32, 0.443520, 24.662478
9, 33, 0.437433, 27.973156
9, 34, 0.412292, 19.516234
9, 35, 0.461218, 33.933719
9, 36, 0.457881, 35.833835
9, 37, 0.434490, 21.245655
9, 38, 0.446742, 28.328425
9, 39, 0.454706, 32.191314
9, 40, 0.455357, 40.190595
9, 41, 0.438572, 25.226261
9, 42, 0.424607, 24.497518
9, 43, 0.462874, 42.800096
9, 44, 0.389231, 13.834624
9, 45, 0.455206, 28.639392
9, 46, 0.431240, 31.522266
9, 47, 0.452689, 28.071372
9, 48, 0.431001, 19.433890
9, 49, 0.434494, 27.399408
9, 50, 0.432479, 21.582887
10, 1, 0.423232, 23.752504
10, 2, 0.445747, 28.799257
10, 3, 0.458298, 35.538443
10, 4, 0.436310, 24.121072
10, 5, 0.440906, 25.602064
10, 6, 0.430811, 25.347055
10, 7, 0.452997, 33.993060
10, 8, 0.421300, 19.001004
10, 9, 0.433004, 26.283868
10, 10, 0.450532, 36.069545
10, 11, 0.428826, 29.121003
10, 12, 0.442595, 32.968883
10, 13, 0.446271, 32.821448
10, 14, 0.430531, 29.830280
10, 15, 0.463004, 48.495664
10, 16, 0.434289, 23.754668
10, 17, 0.442816, 28.213434
10, 18, 0.435465, 24.251625
10, 19, 0.418584, 22.463138
10, 20, 0.452374, 40.284744
10, 21, 0.422044, 25.970195
10, 22, 0.429083, 32.466726
10, 23, 0.443148, 32.386422
10, 24, 0.448547, 42.447771
10, 25, 0.428857, 21.197723
10, 26, 0.427264, 20.669638
10, 27, 0.443900, 34.075204
10, 28, 0.452398, 38.019192
10, 29, 0.458890, 38.765985
10, 30, 0.431986, 23.734848
10, 31, 0.449826, 32.028363
10, 32, 0.450289, 33.608674
10, 33, 0.402309, 19.884519
10, 34, 0.388116, 12.871261
10, 35, 0.455099, 37.262295
10, 36, 0.443816, 26.821774
10, 37, 0.417326, 20.509741
10, 38, 0.401555, 16.991471
10, 39, 0.441413, 30.698791
10, 40, 0.446784, 25.799255
10, 41, 0.404364, 19.646591
10, 42, 0.428097, 18.076867
10, 43, 0.459139, 43.498008
10, 44, 0.456902, 36.888018
10, 45, 0.418240, 18.638307
10, 46, 0.405303, 18.490585
10, 47, 0.461815, 36.992437
10, 48, 0.450729, 36.973607
10, 49, 0.431132, 20.910089
10, 50, 0.435875, 25.138634
11, 1, 0.429398, 27.112352
11, 2, 0.442821, 32.544348
11, 3, 0.450050, 31.039154
11, 4, 0.404195, 18.838091
11, 5, 0.404958, 18.357808
11, 6, 0.430402, 21.480953
11, 7, 0.445737, 33.993871
11, 8, 0.452308, 34.640240
11, 9, 0.447941, 40.406784
11, 10, 0.421715, 29.968004
11, 11, 0.430333, 23.414436
11, 12, 0.447966, 35.210826
11, 13, 0.451426, 36.194225
11, 14, 0.418801, 19.926718
11, 15, 0.442159, 29.529710
11, 16, 0.459978, 38.188588
11, 17, 0.444017, 27.971371
11, 18, 0.442954, 26.884060
11, 19, 0.446091, 25.092539
11, 20, 0.428866, 23.295225
11, 21, 0.459077, 44.170274
11, 22, 0.454819, 40.275311
11, 23, 0.448955, 34.865109
11, 24, 0.380147, 13.249610
11, 25, 0.457625, 44.820003
11, 26, 0.450520, 40.182453
11, 27, 0.421822, 22.432743
11, 28, 0.416240, 20.799902
11, 29, 0.426759, 25.067395
11, 30, 0.426848, 26.293845
11, 31, 0.404499, 19.025567
11, 32, 0.447730, 35.754948
